cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10_parede_alv,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1b_micro_internet,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10b_sem_fund,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d11_sem_registro,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v6264_igual,e2z_v6264_naonulo,e3_estrangeiro,e4_trab_outro_mun,e5_desloc_mais_1h,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1501808,1701,8953,17654.0000000001,92860.000000001,6.72,60.92,88.03,4.38,0.58,5.27,77.47,28.37,44.24,449.46,829.48,0.55,4.49,12.34,33.94,59.47,27.18,77,7.91,36.92,0.43,26.17,54.06,35.3,5.7,20.21,74.12,78.83,68.8,100,100,86.96,65.24,90.2,76.98,32.29,21.25,12.86,2.97,54.78,0.815,1185.39,1455.24,0.846,1293.84,1529.36,12.04,21.66,8.55,50.1,28.12,23.97,1494.45,1340.3,43.08,7.36,11.33,20.92,7.83,0.79,70.45,0.01,18,0.1,15.49,4.11,1.06,12.16,2.59,1.16,3.7,0.01,2.28,6.3,4.42,34.34,41.73
1501907,577,2582,5879.99999999988,25694.9999999992,13.33,48.55,92.26,2.9,0.14,4.38,68.46,25.12,45.11,385.59,601.92,0.43,1.19,4.61,38.45,64.84,20.9,83.62,12.56,40.74,0.31,22.1,30.1,38.55,9.48,13.49,85.25,69.67,79.03,100,100,88.59,48.58,91.87,81.55,41.44,30.58,14.53,1.37,54.7,0.778,858.19,1103.4,0.741,945,1275.63,5.72,26.06,3.18,52.96,17.21,14.14,968.83,993.77,40.78,6.26,4.78,14.4,10.68,0.5,74.39,0.03,21,0.14,14.01,5.3,1.08,10.22,4.4,0.95,5.35,0,2.33,3.86,3.96,30.89,43.29
1501956,1131,5520,5665,26484,19.18,45.96,83.89,3.33,0,4.68,75.08,21.73,40.86,236.56,438.87,0.34,0.25,2.06,19.12,75.9,15.02,67.71,3.68,16.18,0.07,28.57,18.1,15.89,0.7,4.3,67.19,85.21,61.71,100,100,87,68.65,89.5,66.83,42.55,14.79,8.69,0.66,48.83,0.661,746.77,1129.48,0.787,935.14,1188.62,4.61,22.52,4.9,46.44,8.74,6.58,1085.67,964.32,50.27,4.11,2.63,9.15,4.38,0.71,85.64,0.11,19,0.06,15.8,2.53,1.07,32.44,10.24,1.85,12.09,0,1.78,11.19,4.33,24.51,39.86
1502004,442,1985,4594.00000000001,20443,20.43,45.24,89.9,2.05,0,4.47,65.66,34.27,45.83,333.55,653.57,0.5,2.63,6.29,27.9,63.44,20.74,73.69,45.79,35.14,0.89,15.67,32.68,69.77,16.77,21.18,85.14,72.88,80.54,100,100,89.36,33.76,92.2,76.04,37.31,27.32,11.75,1.77,50.12,0.714,1100.85,1541.16,0.807,1292.2,1601.63,7.45,28.92,10.75,44.73,23.68,21.66,1371.95,1314.46,48.39,5.56,1.91,9.72,11.57,1.38,77.32,0,22,0.17,12.93,5.57,1.07,13.98,3.74,1.5,5.11,0,2.33,7.62,3.81,40.65,43.35
1502103,2337,11886,23667.9999999999,120895.999999999,21.95,59.24,91.76,3.16,0.81,5.11,75.2,27.07,45.95,473.12,886.21,0.57,3.13,7.86,49.67,57.87,26.65,85.75,10.97,56.93,3.23,36.12,44.13,61.83,9.91,20.84,89.59,67.09,85.4,100,100,88.83,36.18,96.74,86.17,45.2,33.04,21.12,3.16,58.4,0.683,1072.27,1568.88,0.835,1259.29,1507.78,7.82,28.31,6.41,54.66,23.37,19.82,1323.76,1320.33,41.11,7.28,1.81,21.9,5.84,0.71,71.54,0.01,21,0.16,13.43,5.52,1.05,5.95,2.58,0.84,3.41,0.01,1.99,5.67,4.13,34.29,42.85
1502152,736,2566,7517.00000000034,26716.0000000015,52.85,25.55,61.5,25.85,3.3,3.57,60.47,37.38,38.38,946.23,1680.19,1.21,10.75,23.14,29,34.11,17.01,98.79,37.07,65.33,20.55,3.79,84.59,88.33,9.94,14.01,90.46,56.54,88.1,100,100,89.16,48.78,97.8,90.86,58.45,44.25,28.73,4.67,65.05,0.547,1675.2,3062.2,0.63,2132.92,3385.07,16.17,15.52,10.83,58,57.26,46.85,2742.81,2484.87,34.85,6.04,1.23,25.75,6.59,2.25,65.24,0.16,23,0.08,13.04,2.67,1.03,79.93,34.02,5.48,39.35,0,5.6,6.41,3.37,39.24,37.76
1502202,1654,6175,17002,63639.0000000001,58.62,23.52,81.8,10.22,0.11,3.76,57.57,35.53,45.81,709.67,1138.13,0.82,10.17,15.6,22.34,41.34,26.55,98.84,68.32,67.27,0.34,5.93,83.62,66.38,10.99,12.57,85.96,56.26,83.45,100,100,91.73,39.72,97.55,85.87,55.39,43.89,27.89,3.69,57.58,0.716,1331.02,1859.16,0.879,1540.33,1752.69,12.12,26.83,8.96,52.42,40.32,31.47,1748.19,1601.13,32.67,9.01,1.15,25.12,3.92,0.42,70.42,0.11,26,0.23,10.2,6.55,0.98,32.35,7.63,1.9,9.48,0.01,8.34,3.66,3.36,40.01,44.14
1502301,1253,5069,13024,51893,48.72,32.61,83.71,6.02,0,3.99,65.2,27.69,44.48,473.12,759.31,0.6,2.92,5.45,60.49,57.1,22.81,91.64,3.65,63.57,0.79,12.83,49.99,57.08,2.77,9.52,75.95,76.5,73.26,100,100,90.55,60.04,95.75,82.32,38.85,23.5,14.86,2.7,59.71,0.902,1199.06,1329.78,0.893,1244.65,1394.27,7.54,29.87,5.76,56.27,14.61,13.05,1361.32,1269.61,35.2,7.37,1.66,15.18,3.04,0.33,81.32,0.13,22,0.16,11.37,5.34,1.05,30.73,5.98,2.28,8.24,0.02,3.07,5.81,3.68,31.06,43.19
1502400,4444,17250,45745,173149,67.51,30.92,75.69,15.57,1.52,3.8,58.93,40.78,43.76,804.3,1373.08,1.04,14.78,22.07,43.8,35.55,18.94,99.47,37.5,71.12,3.7,5.15,89.89,87.74,15.27,26.32,92.41,51.39,89.67,100,100,91.17,27.46,95.41,86.19,58.01,48.8,31.33,5.73,58.3,0.721,1741.9,2416.5,0.683,1865.21,2731.1,15.45,20.32,9.72,52.64,58.6,48.59,2251.37,2103.21,33.46,6.19,0.87,23.69,5.35,1.24,69.63,0.1,25,0.17,10.56,4.91,0.95,38.67,10.26,2.44,12.57,0.06,7.78,3.44,3.4,44.23,42.29
1502509,343,1686,4326,21005,2.83,56.03,85.92,0.35,0.28,4.87,71.21,23.01,43.65,236.56,638.28,0.48,0,0.95,12.17,66.83,15.45,59.28,1.03,14.62,0.81,67.66,12.35,47.38,1.03,8.79,70.09,90,65.17,100,100,86.61,54.89,79.69,63.32,31.17,10,3.46,1.43,51.35,0.823,1255.11,1524.69,0.788,1394.22,1770.32,5.02,22.33,6.16,48.18,18.68,9.75,1066.99,1422.94,51.31,4.18,7.85,10.06,9.02,1.54,79.38,0,19,0.12,15.79,4.79,1.14,7.09,2.02,0.96,2.98,0,0.74,22.61,4.2,28.93,41.39
