cod,x1,y1,x2,y2
2900900,-39.7584,-14.7889,-39.5693,-14.6017
2901007,-39.8013,-13.1533,-39.4687,-12.9132
2901106,-38.8139,-12.5131,-38.6378,-12.3642
2901155,-41.7005,-11.6161,-41.3558,-11.183
2901205,-41.2296,-14.8537,-40.6146,-14.3627
2901304,-41.4392,-13.1292,-40.9635,-12.4589
2901353,-40.0578,-10.563,-39.7138,-9.9389
2901403,-44.9348,-12.173,-44.3454,-11.7473
2901502,-39.2861,-12.2636,-39.0767,-12.0947
2901601,-38.4214,-10.4816,-38.1498,-10.3078
2901700,-39.2454,-12.4983,-39.0501,-12.2704
2901809,-40.5492,-10.713,-40.1608,-10.5006
2901908,-38.3124,-11.8922,-38.0491,-11.6088
2901957,-39.8515,-13.9127,-39.68,-13.7111
2902005,-41.6376,-14.5585,-41.0678,-14.1003
2902054,-38.3556,-12.2784,-38.066,-12.0104
2902104,-39.3107,-11.4935,-38.7741,-10.9865
2902203,-38.6313,-12.1937,-38.4337,-11.9333
2902252,-39.5788,-15.3526,-39.2982,-15.1131
2902302,-39.2016,-13.1445,-38.956,-13.0379
2902401,-39.6966,-14.46,-39.2907,-14.267
2902500,-44.7418,-13.1183,-44.1519,-12.2223
2902609,-40.3566,-12.1547,-39.955,-11.8098
2902658,-38.7867,-10.7272,-38.5465,-10.4794
2902708,-44.0259,-11.9315,-42.6192,-10.237
2902807,-41.4874,-13.891,-40.7148,-13.4702
2902906,-40.7402,-15.0764,-40.4089,-14.7564
2903003,-42.36,-12.2915,-41.9439,-11.714
2903102,-39.6698,-14.2189,-39.5188,-13.9321
2903201,-46.4798,-12.4271,-44.5798,-11.5996
2903235,-42.0215,-11.9912,-41.6799,-11.7087
2903276,-39.1611,-11.6329,-39.0213,-11.4208
2903300,-39.5606,-14.8512,-39.3435,-14.6974
2903409,-39.5728,-16.1322,-38.8528,-15.7667
2903508,-41.3331,-15.2103,-41.0866,-14.7109
2903607,-38.8894,-11.7757,-38.6742,-11.3654
2903706,-40.5052,-14.521,-40.0357,-14.2239
2903805,-41.02,-13.0475,-40.3587,-12.4378
2903904,-43.7061,-13.8762,-42.9094,-12.6892
2903953,-40.7437,-14.4641,-40.3934,-14.2986
2904001,-42.0333,-12.9949,-41.6038,-12.6576
2904050,-41.4557,-12.1684,-41.1884,-11.7702
2904100,-42.9333,-12.9504,-42.4949,-12.5008
2904209,-42.6824,-13.4599,-42.4059,-13.1828
2904308,-39.9681,-13.2055,-39.6972,-12.9331
2904407,-44.1175,-12.7048,-43.4436,-12.2317
2904506,-42.8612,-12.4826,-42.0878,-11.729
2904605,-42.087,-14.5092,-41.3184,-13.9165
2904704,-39.3667,-15.084,-39.1597,-14.9088
2904753,-44.0834,-10.9092,-43.3713,-10.2344
2904803,-40.5509,-15.1073,-40.1375,-14.8528
2904852,-39.3185,-12.6585,-39.0579,-12.4932
2904902,-39.009,-12.8391,-38.7935,-12.5154
2905008,-42.5243,-14.6313,-42.1505,-14.3517
2905107,-40.4817,-11.2288,-39.9902,-11.0494
2905156,-41.1089,-14.4416,-40.696,-14.1645
