cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a2_agua_rede,a20_rdpc_baixa,a22_energia,a23_esgoto_adeq,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a31_telefone,a32_comodos,a33_dormitorios,a4_esgoto_rede,a5_esgoto_inadeq,a7_banheiro_excl,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c5_previdencia,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
3522406,3667,17353,14111,65546,57.22,49.96,54.63,20.48,0.26,4.59,70.99,11.43,43.07,553.47,1079.48,1,59.07,47.65,66.8,50.58,60.8,72.33,31.43,46.41,20.67,53.25,35.68,8.47,4.77,1.89,48.21,37.74,75.28,11.72,77.15,35.5,71.34,99.52,98.78,99.16,54.71,62.72,34.82,9.18,6.84,3.06,46.26,0.639,1696.7,2654.61,0.587,1527.6,2602.37,5.76,0.99,45.81,46.13,2494.63,2420.14,41.23,81.24,2.45,0.23,16.08,19,0.09,17.4,3.67,1.03,30.68,13.27,0.32,4.35,12.71,42.5
3522505,2823,13017,11387,53442,91.7,65.05,49.9,25.77,6.82,4.67,73.49,12.31,40.48,869.42,1186.65,1.1,55.31,24.18,95.16,35.96,100,81.35,56.48,75.35,17.51,52.11,2.63,7.51,3.75,1.59,0,60.35,79.72,3.63,81.03,29.33,73,99.46,98.19,98.87,50.81,70.72,38.75,7.49,3.34,1.21,48.33,0.554,1674.17,3024.29,0.748,2163.68,2891.09,4.24,0.5,48.09,79.71,2659.1,2640.04,37.54,63.36,7.33,0.52,28.8,19,0.06,17.99,2.29,1.03,68.1,30.06,0.59,4.41,13.8,40.03
3522604,2828,12102,10935,47923,99.31,37.98,44.11,25.14,0.68,4.29,63.11,10.7,44.73,931.52,1427.12,1.32,77.09,22.63,96.65,75.93,79.2,86.25,68.79,79.47,30.1,84.12,16.21,14.14,5.41,1.99,68.04,20.21,87.02,3.88,81.03,28.77,78.22,98.63,98.92,98.66,44.38,68.58,36.69,11.33,8.16,2.94,53.98,0.527,1660.04,3152.59,0.537,1560.94,2905.34,4.6,0.39,53.77,59.55,2656.84,2711.64,34.89,86.47,5.18,0.13,8.23,23,0.18,13.06,5.66,1.07,30.75,8.49,0.14,4.01,11.21,44.24
3522703,1661,6869,6004,25981,98.42,34.9,46.66,19.71,0.07,4.26,62.79,8.29,44.69,938.98,1521.09,1.41,62.13,23.89,87.66,50.08,63.67,88.48,72.25,74.21,39.47,80.61,30.01,14.77,6.07,2.05,49.45,44.24,87.9,5.67,81.57,32.14,77.46,99.73,99.17,99.54,48.85,61.69,40.49,9.07,7.02,2.55,57.34,0.471,1535.75,3260.9,0.488,1383.86,2836.02,5.25,0.24,57.2,32.2,2637.95,2706.74,32.95,90.31,2.31,0.19,7.18,23,0.17,13.03,5.46,1.06,32.59,16.25,0.33,3.98,9.01,44.01
3522802,956,4347,3542,16456,34.36,40.99,61.91,15.56,0.11,4.6,70.5,11.72,42.78,524.45,877.74,0.81,38.51,51.28,46.36,23.21,48.14,76.74,24.53,34.98,23.71,42.89,40.6,4.09,4.84,2.04,22.47,54.26,71.93,22.65,74.62,43.02,70.18,99.55,98.99,99.31,60.18,63.41,26.51,5.36,3.94,2.11,46.72,0.584,1454.95,2493.33,0.665,1561.86,2346.92,4.16,0.97,46.26,23.88,2371.46,2288.36,47.27,87.37,2.04,1.86,8.73,19,0.08,17.51,3.28,1.05,32.88,11.6,0.26,4.56,12.55,42.47
3522901,441,1938,1729,7613,95.89,41.12,35.8,30.77,0,4.42,61.42,11.58,46.35,782.48,1132.13,1.05,70.16,25.45,96.36,73.92,69.52,86.61,66.4,75.25,21.34,71.78,19.84,8.27,5.24,2,65.53,23.31,78.72,2.78,75.17,36.01,69.15,98.61,98.82,98.65,49.62,66.47,45.45,8.75,6.53,2.6,58.64,0.615,1413.76,2297.14,0.598,1298.77,2170.19,6.46,0.49,58.35,47.04,2025.17,1994.52,27.81,78.69,8.61,0.05,12.65,22,0.18,13.79,6.13,1.03,41.92,21.58,0.37,4.12,12.92,45.8
3523008,169,803,648,3179,38.73,52.78,60.65,20.83,0,4.86,68.06,9.42,44.63,548.32,790.64,0.73,90.9,45.52,90.43,29.17,83.02,79.13,42.13,48.46,7.75,29.01,16.36,2.62,4.85,1.96,0,66.2,91.01,4.65,69.23,53.45,65.81,98.61,98.45,98.18,62.21,80.23,59.48,4.87,1.18,0,46.73,0.365,740.8,2031.65,0.677,1413.3,2088.12,6.31,0.38,46.56,46.01,1709.11,1712.72,36.58,44.39,11.95,0.09,43.57,18,0.1,17.06,4.32,1.12,64.83,28.12,0.5,4.39,12.85,43.56
3523107,3859,17868,14992,73068,94.52,69.76,54.21,25.15,0.15,4.71,74.89,10.76,38.68,806.13,1110.65,1.03,65.14,28.09,90.37,3.21,100,79.53,53.03,74.8,15.19,63.63,1.88,6.14,3.59,1.46,0,93.84,83.27,2.99,80.99,32.63,73.6,97.94,94.14,96.08,61.84,66.87,41.04,7.13,3.16,0.89,49.11,0.561,1658.53,2955.33,0.766,2116.9,2764.86,2.93,1.82,48.22,79.45,2629.2,2608.62,39.87,63.14,5.68,1.65,29.53,18,0.04,18.91,1.59,1.05,69.35,42.62,0.97,4.5,11.98,38.31
3523206,2201,9557,8542,37763,26.81,43.73,52.2,24.39,0.09,4.37,66.74,14.43,44.91,573.82,1123.4,1.04,70.31,46.64,68.23,45.11,66.38,75.91,37.96,52.84,23.63,58.41,37.87,8.01,4.78,1.9,40.88,38.88,71.31,16.03,80.84,31.76,75.02,99.38,99.24,99.21,50.34,66.13,40.21,7.89,5.7,2.53,45.4,0.519,1524.39,2938.38,0.501,1369.76,2732.01,7.76,0.09,45.36,44.45,2555.68,2566.83,41.42,82.68,2.24,0.52,14.56,20,0.13,15.83,4.9,1,38.69,16.84,0.29,4.08,15.78,44.17
3523305,596,2700,2005,9448,59.65,56.76,35.76,15.11,0.25,4.62,69.13,7.79,42.9,548.69,1120.16,1.03,32.77,48.08,59.1,28.53,49.83,74.66,32.72,36.46,17.01,47.63,36.81,4.99,4.34,1.68,11.67,56.52,80.95,15.13,71.09,42.89,62.35,99.81,99.37,99.63,43.09,59.01,37.16,7.89,3.56,1.56,48.55,0.839,2126.27,2533.2,0.61,1680.84,2754.8,3.86,3.31,46.94,39.32,2430.86,2469.01,44.04,43.14,4.78,8.12,43.96,18,0.1,19.63,4.28,1.14,49.59,19.93,2.56,4.39,8.87,42.22
