cod_ap,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a1c_microcomputador,a2_agua_rede,a20_rdpc_baixa,a21_com_defic,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b4_freq_15a17,b5b_adequacao,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c12_ocup_superior,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c5z_v0450_naonulo,c5z_v0450_naonulo_carteira,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c9_sem_rendimento,d10b_defic_severa,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,e4z_v4276_naonulo,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
1100205999001,1868,7208,18625.00000007,71792.00000012,28.86,69.08,19.94,3.7,3.85,61.21,33.57,43.39,1095.29,2353.21,3.21,13.89,67.06,20.02,9.01,99.85,73.51,83.26,22.48,14.44,84.76,79.92,46.71,41.73,94.1,9.46,82.5,100,100,100,26.21,95.22,83.6,54.99,57.99,42.34,9.91,7.9,63.99,0.669,3129.83,4681.41,0.629,3218.29,5119.41,28.21,6.37,15.48,54.08,53.2,47.53,45.84,0,8.15,3976.84,3965.32,35.72,2.72,38.57,3.46,0.18,57.35,0.44,23,0.14,11.87,4.19,0.95,43.4,10.32,0.44,100,100,3.4,36.7,41.54
1100205999002,1242,4679,12491.00000002,47247.00000038,23.82,59.89,23.11,6.74,3.78,63.7,31.77,42,1377.31,3052.4,4.22,17.39,54.94,14.27,9.55,99.93,67.44,89.91,13.34,2.09,96.44,91,34.73,41.33,95.67,6.06,84.65,100,100,100,27,97.2,86.85,63.33,62.68,47.01,12.72,8.56,68.87,0.669,4123.6,6164.3,0.459,3511.84,7647.28,32.98,4.79,15.82,57.98,52.64,47.78,46.88,0,5.76,5480.64,5233.02,34.16,2.87,40.15,4.44,0.42,54.77,0.23,24,0.09,11.23,2.62,0.95,50.18,14.89,0.3,100,100,3.49,33.71,40.88
1100205999003,1933,7792,19155.00000005,77440.9999996794,35.24,73.84,10.73,0.32,4.04,71.97,29.63,40,780.48,1394.75,1.85,6.49,16.35,26.41,9.76,99.8,68.74,74.12,3.66,7.46,90.17,76.36,10.96,29.87,93.07,10.27,79,100,100,100,40.22,94.63,82.39,50.76,47.03,30.8,3.51,6.78,67.51,0.71,2210.35,3113.67,0.736,2435.64,3307.56,18.53,4.18,16.8,56.17,50.38,43.41,49.59,0,8.97,2831.23,2722.93,37.11,2.82,32.34,4.15,0.25,62.94,0.32,21,0.06,14.09,2.21,0.97,46.43,8.67,0.04,100,100,3.67,31.98,38.71
1100205999004,1753,6994,17506.00000017,69454.00000052,38.54,67.74,5.62,0.8,3.97,73.04,29.45,39.17,703.96,1369.97,1.81,5.44,26.97,27.76,9.48,99.84,77.17,71.14,5.11,6.76,89.25,71.25,22.73,35.07,93.26,9.88,77.26,100,100,100,39.95,92.77,77.44,49.73,48.72,29.92,4.39,6.9,67.58,0.707,2224.73,3146.19,0.667,2347.41,3520.18,18.6,3.64,17.57,55.71,48.77,40.7,52.75,0,9.34,2837.95,2753.5,37.49,2.81,33.6,3.55,0.08,61.83,0.95,21,0.05,15.1,2.03,0.98,48.79,10.62,0.08,100,100,3.66,30.45,38.2
1100205999005,962,3930,9469.00000007,38757.00000042,47.49,88.79,4.94,0,4.09,73.74,27.65,39.36,459.1,735.27,0.91,1.09,19.17,43.75,14.39,99.26,44.67,48.36,0.32,8.28,81.69,51.48,6.19,14.46,88.33,17.24,71.59,100,100,100,51.29,90.51,71.26,39.38,23.25,9.48,0.74,4.65,64.81,0.582,1165.91,2003.31,0.682,1513.19,2218.76,7.43,4.64,20.39,51.6,49.19,35.8,60.54,0,10.17,1751.91,1694.53,42.17,4.14,25.67,5.41,0.12,68.25,0.55,19,0.06,17.04,2.41,1.01,49.71,11.19,0.11,100,100,3.83,28.58,38.41
1100205999006,841,3063,7897.00000004,29969.9999999501,46.04,76.6,2.33,0.15,3.8,65.19,10.54,42.68,459.1,954.59,1.21,0.39,10.16,45.43,12.57,66.21,14.41,29.84,0,23.2,7.85,27.38,1.95,6.08,80.73,27.8,65.91,100,100,100,51.76,79.57,51.71,38.27,15.38,7.73,0.5,3.51,55.93,0.662,1417.73,2142.08,0.527,1600.45,3038.18,10.79,5.35,10.14,50.26,38.99,22.59,72.4,0,7.48,1920.75,1981.6,46.86,3.61,24.68,4.85,0.14,69.2,1.13,20,0.09,16.02,3.44,1.27,41.91,10.63,0.12,100,100,4.02,11.34,41.97
1100254001001,706,2712,6867.99999983,26364.9999995,24.3,75.15,7.14,0.13,3.84,64.35,16.36,43.45,573.88,919.36,1.16,1.64,30.92,38.94,14.78,82.32,1.67,68.75,1.01,9.66,41.5,59.57,1.32,7.97,83.08,25.15,74.03,100,100,100,56.81,87.87,63.1,48.68,16.41,9.04,1.14,3.67,56.61,0.602,1360.69,2261.16,0.739,1639.07,2216.58,12.02,10.81,7.98,52.09,40.06,28.36,66.84,0,5.03,2136.94,1953.35,40.86,4.57,49.48,7.74,0.27,42.25,0.26,22,0.14,11.57,4.53,1.07,65.43,15.33,0,100,100,3.66,18.17,42.78
1100262001001,158,563,774.99999995,2936.99999991,26.88,74.64,2.64,0,3.79,55.16,15.76,41.99,688.66,2236.17,3.08,1.09,17.47,31.3,15.16,72.97,7.6,37.79,0,18.14,26.36,43.73,0,30.96,84.6,22.44,71.28,100,100,100,39.11,77.37,67.74,39.16,13.78,8.45,1.74,3.5,62.64,0.304,1555.21,5123.45,0.65,3133.09,4817.3,12.34,10.76,4.66,59.72,30.54,17.52,64.75,0,1.18,2633.7,3938,43.72,4.35,47.34,3.68,0.14,48.71,0.14,23,0.12,12.94,4.03,1.2,71,22.33,0,100,100,3.75,16.72,41.74
1100288001001,1294,4993,12765.00000008,47382.00000071,24.81,74.33,10.38,0.09,3.71,64.77,15.61,42.17,630.5,1142.11,1.48,3.19,32.58,31.62,12.24,93.62,1.21,75.65,0.43,9.67,65.65,69.73,0.59,19.4,86.09,20.38,76.04,100,100,100,52.97,91.27,66.64,70.12,20.86,10.07,2.4,4.3,62.69,0.465,1339.2,2877.73,0.757,2016.15,2664.91,14.1,8.57,10.16,56.33,45.23,33.9,65.61,0,6.88,2543.27,2329.91,36.67,3.92,48.47,5.32,0.23,45.59,0.39,23,0.13,12.25,4.29,1.03,68.83,15.77,0.07,100,100,3.54,17.63,41.53
1100296001001,608,2410,2982.99999996,11602.99999985,25.05,76.71,3.91,0,3.89,66.19,12.37,43.61,440.74,629.99,0.75,0.78,9.79,47.22,9.06,80.62,0.75,55.27,0.75,20.75,22.62,40.19,0.75,7.57,82.25,22.95,72.31,100,100,100,60.28,89.9,70.12,50.63,15.71,7.11,1.27,3.63,51.62,0.629,1022.86,1626.51,0.934,1377.07,1474.95,10.55,11.63,8.98,46.98,38.92,25.55,70.4,0,3.6,1500.08,1435.26,45.39,2.6,59.99,4.9,0.06,34.97,0.07,22,0.13,12.4,4.37,1.1,70.37,14.79,0.04,100,100,3.69,13.93,42.87
