cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
2411502,821,4518,2828,15689,46,68.53,4.67,5.49,5.41,74.96,13.96,45.51,0.14,5.13,0,50.5,25.18,21.96,1.87,0.57,0.5,0.11,80.48,0,26.73,73.27,34.04,73.18,29.44,100,100,81.29,81.17,42.75,0,40.48,0.14,42.19,0.19,1.98,27.68,41.35,0.09,22.09,4.26,0.96,0,6.46,1.77,0,0.19,5.37
2411601,313,1528,1212,6093,37.54,70.63,4.79,4.89,4.74,73.88,12.64,45.86,0,3.05,0.66,42.66,69.8,22.28,1.57,0,0,0.66,48.93,0,16.91,82.43,41.55,67.66,34.15,100,100,82.27,90.63,52.58,0.26,42.56,0,37.15,0.26,0.65,25.31,36.91,0.08,20.39,3.52,0.97,0,23.03,7.5,0,6.18,4.6
2411700,154,796,646,3615,64.09,48.3,1.55,5.2,5.2,74.71,11.26,47.24,0,2.32,0,56.5,14.24,21.83,0,0,0,0,97.06,0,8.98,91.02,31.43,71.38,25.06,100,100,79.81,81.4,40.69,0,29.18,0,42.81,0,0,28.33,42.81,0.12,23.1,5.45,0.96,0,11.54,4.4,0,18.01,4.96
2411809,162,913,625,3830,37.92,34.56,2.4,5.67,5.55,70.64,11.31,46.28,0,6.88,0,93.44,16.64,31.2,1.28,0,2.4,0,94.4,0,11.52,88.48,62.86,67.6,57.34,100,100,84.15,51.87,42.55,0,28.15,0,49.72,0.26,0,34.65,49.72,0.12,18.59,5.07,1.01,0,6.84,4.44,0,0,5.56
2411908,75,338,274,1651,58.39,98.54,0.36,4.74,4.6,73.24,5.95,44.48,0,0,0,97.45,21.9,24.09,0,0,0,0,96.72,0,0,100,31.63,78.67,30.11,100,100,77.04,89.71,29.5,0,24.11,0,47.54,0,0,31.07,47.54,0.14,26.04,6.6,1.02,0,11.21,0.63,0,0,4.74
2412005,911,5122,3421,18826,60.04,61.47,5.52,5.57,5.44,75.75,14.92,45.68,0.67,5.17,0,35.19,22.95,30.05,1.9,0,0.82,0.47,79.45,0,29.79,70.21,32.66,76.92,30.66,100,100,82.22,85.08,44.73,0.08,37.5,0,39.67,0.96,2.31,26.65,38.75,0.07,20.97,3.37,1.01,0,20.72,8.52,0,4.2,5.3
2412104,170,945,750,4236,47.87,46,10.53,5.52,5.71,67.31,15.32,49.37,0.67,6.27,0,71.6,50.93,30.13,1.87,0,0,0.67,94.8,0,44.53,55.47,54.86,52.69,48.7,100,100,83.33,68.58,49.5,0,40.93,0,42.82,1.02,0.4,29.72,42.65,0.13,18.65,5.64,1,0,18.91,9.21,0,6.83,5.49
2412203,896,4818,3231,17312,40.51,67.29,11.11,5.26,5.15,77.11,16,46.2,2.17,13.28,3.53,68.21,25.97,29.9,4.64,1.18,1.89,3.78,64,0,41.6,54.87,31.63,73.69,28.68,100,100,82.41,81.28,43.59,0,38.33,0.13,36.48,1.24,1.42,24.38,35.96,0.08,21.17,3.84,0.98,0,25.33,10.79,0,2.85,4.97
2412302,597,3416,2157,11738,40.98,60.04,7.6,5.54,5.46,79.27,15.92,45.61,0,9.78,0.56,53.69,32.41,24.9,2.23,0.37,0.46,0.56,71.53,0,28.37,71.07,28.9,77.42,26.6,100,100,81.36,88.79,41.27,0,33.66,0,40.37,2.28,0.38,26.67,40.22,0.07,21.65,3.42,0.93,0,19.75,6.16,0,1.43,5.29
2412401,158,1116,462,2887,55.19,58.87,2.16,6.82,6.64,72.32,10.74,49.44,0,5.63,0,85.71,27.49,26.62,3.03,0,0,0,94.37,0,30.3,69.7,59.16,50.37,52.38,100,100,82.33,75,50.14,0,37.5,0,47.08,0.32,0,31,47.08,0.11,21.16,5.23,0.97,0,16.59,6.06,0,13.7,6.51
2412500,794,5002,2609,15600,62.86,83.63,4.02,6.18,6.15,76.36,12.66,44.83,0,2.3,0.15,74.13,22.31,22.42,1.84,0,0.92,0.15,87.89,0,13.07,86.78,28.18,76.76,26.31,100,100,82.62,80.16,26.83,0,25,0.08,41.71,0.17,0,27.58,41.71,0.06,20.83,2.81,0.93,0,9.32,1.84,0,0.78,6
2412609,646,3566,2311,12823,50.63,61.7,7.66,5.44,5.45,75.58,11.76,45.41,0,8.39,0.17,88.19,34.18,31.63,2.55,0,0.61,0.17,71.31,0,24.28,75.55,38.84,68.02,36.38,100,100,81.31,80.66,42.46,0,43.25,0.15,43.68,0.1,0.35,28.64,43.53,0.09,21.89,4.41,0.98,0,21.91,7.96,0,0.78,5.27
