cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a10b_parede_alvenaria,a11_adensamento,a13_alugado,a14_apartamento,a15_moradores,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a19_rdpc_mediana,a19b_rdpc_media,a19c_rdpc_sm,a19z_v2012_naonulo,a2_agua_rede,a20_rdpc_baixa,a21b_com_defic_1991,a22_energia,a23_esgoto_adeq,a3_agua_dentro,a4_esgoto_rede,a5_esgoto_inadeq,a6_lixo_coletado,a7_banheiro_excl,a8_saneamento_ok,a9_maq_lavar,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_grau_ambos_nulos,b3z_v0324_naonulo,b4_freq_15a17,b6_fund_completo,b7_medio_completo,b8_superior_comp,b9_anos_estudo,b9z_estudo_acima17,c1_participacao,c10_raz_rend_sexo,c10a_rend_fem,c10b_rend_masc,c11_raz_rend_raca,c11a_rend_pretos_pardos,c11b_rend_brancos,c13_beneficio,c2_desocupacao,c3_ocupacao,c4_carteira,c5_previdencia,c6_domestico,c7_rend_trab_med,c8_rend_total_med,c8z_faixa_sm,c8z_valor_sm,c9_sem_rendimento,c9z_rend_naonulo_14mais,d10c_deficiencia_1991,d1a_branca,d1b_preta,d1c_amarela,d1d_parda,d1e_indigena_raca,d2_idade_mediana,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,e1_nao_natural,e2_migrante_5anos,e2z_v0318_naonulo,e3_estrangeiro,f1_tamanho_familia,f2_resp_mulher,f3_idade_resp
5214507,316,1240,3157.9999969,12986.99998794,96.1,20.02,14.79,0,4.11,66.43,15.62,43.78,458.34,776.88,0.83,96.3,59.48,43.74,4.38,96.81,0,74.58,0,7.24,60.51,81.47,0,36.69,82.29,24.39,78.8,100,100,88.43,61.27,80.09,0,100,65.28,17.77,10.97,3.03,3.86,0.16,60.49,0.553,983.95,1780.48,0.641,1231.23,1921.34,9.55,3.36,58.45,31.5,31.39,6.24,1516.84,1507.2,1.83,1.61,33.23,98.78,1.07,37.85,1.67,0.28,60.19,0,22,0.11,13.73,3.73,1.01,52.37,20.28,63.19,0,3.87,18.28,43.04
5214606,954,4255,9389.99999042,40750.9999572,84.45,26.9,12.3,0,4.34,73,10.16,41.46,385.35,721.88,0.77,99.25,52.23,58.46,3.01,60.26,10.06,49.29,9.24,36.27,30.76,59.09,8.78,32.46,72.92,37.3,69.06,100,100,87.19,63.87,65.7,0,100,52.34,13.69,8.11,0.9,3.07,0.07,54.94,0.552,957.59,1733.4,0.609,1301.32,2137.17,5.66,2.46,53.59,48.31,35.79,5.43,1607.54,1555.92,1.93,1.66,41.84,99.74,0.71,29.26,2.89,0.01,67.8,0.04,19,0.07,15.28,2.76,1.09,35.14,13.68,42.93,0,4.24,11.98,40.92
5214705,106,414,520.99999897,2021.99999595,96.02,13.93,8.27,0,3.88,66.64,18.23,44.07,348.51,585.68,0.63,98.25,43.53,61.2,3.23,61.46,0,47.18,0,42.63,17.67,50.55,0,14.33,82.78,25.47,82.31,100,100,90.5,27.97,91.7,0,100,76.89,15.23,6.27,0.21,3.42,1.37,50.32,0.532,698.99,1314.5,0.746,1064.75,1427.49,11.51,0.41,50.11,25.56,31.39,2.08,1099.06,1150.76,1.51,1.23,40.8,99.36,1.15,27.85,2.65,0,68.95,0.54,22,0.15,10.79,5.02,1.07,52.59,19.56,59.94,0,3.72,19.4,43.17
5214804,102,410,512.999999,1844.99999595,97.3,18.47,6.65,0,3.6,53.66,15.2,44.23,334.39,473.25,0.51,99.35,74.52,56.51,9.35,87.23,0,86.65,0,8.45,13.96,91.55,0,38.27,83.76,21.22,83.48,100,100,91.51,56.07,95.32,0,100,65.51,12.88,5.47,0.44,3.53,0,53.04,0.601,705.92,1174.01,0.608,717.26,1179.7,9.56,1.93,52.02,29.49,40.98,4.95,1060.21,1068.48,1.36,1.14,40.34,99.76,3.26,78.21,1.96,0,19.84,0,25,0.13,9.87,3.53,1.11,15.78,8.52,24.37,0,3.61,16.38,43.94
5214838,563,2454,2572.99999437,11101.99997552,65.11,29.31,12.34,0.3,4.31,73.42,8.59,40.74,454.78,825,0.88,99.24,0,49.44,5.64,71.15,0,41.73,0,22.86,13.03,75.57,0,24.35,67.58,40.44,62.23,100,100,86.97,58.93,57.51,0,100,39.69,9.5,4.9,0.59,2.62,0,57.63,0.447,922.53,2062.52,0.68,1642.11,2413.68,2.94,2.97,55.92,15.89,19.03,8.39,1811.63,1844.87,2.15,1.97,41.84,99.72,1.33,28.87,5.96,0.04,65.05,0.08,19,0.05,15.57,1.93,1.12,66.04,25.16,77.37,0.02,4.13,10.4,40.21
5214861,481,1876,2191.99999529,8505.99998175,97.61,15.43,11.53,0.19,3.88,59.62,16.55,47.1,334.39,507.88,0.54,99.51,19.64,59.64,3.84,77.06,42.04,53.34,0,3.16,11.63,94.52,15.55,32.92,77.43,32.59,75.79,100,100,90.84,57.74,80.7,0,100,54.45,15.8,9.22,1.37,3.4,0.94,46.7,0.597,742.76,1243.73,0.828,1007.44,1216.33,13.82,4.61,44.55,28.96,30.46,4.29,1176.85,1108.18,1.42,1.18,42.6,99.82,1.13,53.73,3.53,0.11,42.64,0,23,0.22,11.09,6.91,1.02,56.34,18.02,65.01,0,3.73,18.51,46.44
5214903,211,988,1017.99999792,4714.99999027,78.37,32.06,3.86,0,4.63,73.72,11.91,45.74,240.02,509.95,0.54,98.81,39.52,75.25,6.83,26.89,0,21.39,0,70.99,1.46,27.58,0,4.01,64.55,44.71,56.76,100,100,86.68,63.75,74.75,0,100,52.4,9.99,4.47,0.32,2.55,0.53,53,0.41,536.96,1310.23,0.458,934.02,2038.17,9.24,1.18,52.38,40.35,23.36,6.57,1008.53,1103.42,1.44,1.18,40.46,99.57,2.18,15.71,1.58,0,82.71,0,18,0.11,16.49,4.67,1.11,29.58,20.9,41.26,0,4.42,14.61,44.85
5215009,258,1121,1229.99999737,5002.99998842,99.27,15.88,8.11,0,4.07,58.26,14.99,45.9,367.83,593.65,0.63,98.98,63.06,58.28,6.25,94.7,0,59.21,0,19.46,59.59,76.87,0,42.4,77.75,29.72,74.74,100,100,90.55,68.83,78.78,0,100,52.99,20.53,14.71,1.13,3.96,0.29,57.48,0.638,819.72,1285.66,0.636,834.04,1311.08,12.9,3.38,55.54,39.9,32.13,11.92,1136.27,1117.11,1.43,1.19,33.05,99.65,1.72,56.68,6.56,0,36.54,0.22,23,0.17,11.42,5.13,1.06,34.16,12.78,42.26,0,3.85,18.55,44.67
5215207,274,994,1326.99999726,4797.99999002,93.73,15.47,7.89,0,3.62,61.08,17.98,44.4,339.19,757.21,0.81,98.77,38.52,58.85,5.58,64.92,0,45.35,0,33.11,12.7,63.89,0,27.83,76.67,32.2,74.57,100,100,89.58,60.71,71.61,0,100,46.56,14.13,6.26,0.5,3.34,0.21,54.15,0.313,590.91,1890,1.15,1595.44,1386.88,12.39,1.54,53.31,22.1,22.51,5.83,1354.95,1539.24,1.62,1.64,36.79,99.41,1.97,28.72,1.52,0,69.76,0,23,0.15,13.83,4.81,1.08,48.52,25.49,64.24,0,3.47,19.59,43.91
5215256,186,819,929.99999823,4393.99999214,93.02,25.53,12.47,0,4.72,73.36,10.22,42.83,406.85,771.11,0.82,100,0,54.61,1.7,70.61,0,32.53,0,13.71,0.6,81.69,0,24.31,80.45,27.99,78.86,100,100,87.41,72.71,81.3,0,100,61.27,11.05,4.92,0.23,2.84,0.45,59,0.661,1156.54,1748.55,0.606,1338.93,2207.91,6.16,1.14,58.32,30.45,27.24,13.35,1480.82,1571.36,1.93,1.68,36.73,100,0.36,27.19,4.78,0,68.03,0,18,0.08,14.02,3.19,1.07,67.52,32.45,80.65,0,4.49,11.63,42.08
